Date,Confirmed,Recovered,Deceased,Other,Tested,Infected,Delta_C,Delta_D,Delta_R,beta,gamma,delta,r0,R0
2020-05-05,49406,14140,1694,4,1276781.0,33572,3602.0,91.0,1161.0,0.1072917907780293,0.03458239008697724,0.0027105921601334446,0.06999880853091861,2.876996805111821
2020-05-06,53008,15301,1785,4,1357413.0,35922,3344.0,104.0,1475.0,0.09309058515672847,0.04106118812983687,0.002895161739324091,0.04913423528756751,2.117796073464218
2020-05-07,56352,16776,1889,4,1437788.0,37687,3339.0,97.0,1111.0,0.08859819035741767,0.029479661421710403,0.0025738318252978482,0.05654469711040942,2.7640728476821192
2020-05-08,59691,17887,1986,4,1523213.0,39818,3175.0,116.0,1414.0,0.07973780702194987,0.035511577678436886,0.00291325531166809,0.04131297403184489,2.07516339869281
2020-05-09,62866,19301,2102,4,1609037.0,41463,4311.0,112.0,1669.0,0.10397221619275017,0.04025275546873116,0.0027012034826230614,0.06101825724139595,2.420550252667041
2020-05-10,67177,20970,2214,4,1673688.0,43993,3592.0,81.0,1579.0,0.0816493533062078,0.03589207373900393,0.001841202009410588,0.04391607755779328,2.1638554216867467
2020-05-11,70769,22549,2295,4,1759579.0,45925,3562.0,120.0,1905.0,0.07756124115405552,0.04148067501360914,0.00261295590636908,0.0334676102340773,1.7590123456790125
2020-05-12,74331,24454,2415,4,1854250.0,47462,3726.0,137.0,1963.0,0.0785049091905103,0.041359403312123386,0.002886519742109477,0.03425898613627744,1.7742857142857142
2020-05-13,78057,26417,2552,4,1947041.0,49088,3991.0,97.0,1594.0,0.08130296610169492,0.032472294654498045,0.0019760430247718385,0.046854628422425035,2.3601419278533413
2020-05-14,82048,28011,2649,4,2039952.0,51388,3808.0,104.0,2234.0,0.07410290340157236,0.04347318440102748,0.002023818790379077,0.028605900210165798,1.6287425149700598
2020-05-15,85856,30245,2753,4,2134277.0,52858,4794.0,120.0,4012.0,0.09069582655416399,0.07590147186802376,0.002270233455673692,0.012524121230466534,1.1602129719264278
2020-05-16,90650,34257,2873,4,2227642.0,53520,5049.0,152.0,2538.0,0.09433856502242152,0.04742152466367713,0.0028400597907324364,0.04407698056801196,1.8769516728624536
2020-05-17,95699,36795,3025,4,2302792.0,55879,4628.0,131.0,2482.0,0.082821811413948,0.044417401886218434,0.0023443511873870327,0.03606005834034253,1.7711442786069653
2020-05-18,100327,39277,3156,4,2404267.0,57894,6154.0,146.0,3032.0,0.10629771651639203,0.0523715756382354,0.0025218502780944485,0.05140429060006218,1.936438011327879
2020-05-19,106481,42309,3302,4,2512388.0,60870,5720.0,134.0,3113.0,0.0939707573517332,0.05114177755873172,0.0022014128470510927,0.040627566945950384,1.7616261164151523
2020-05-20,112201,45422,3436,7,2615920.0,63343,6023.0,148.0,3131.0,0.09508548695199154,0.049429297633519095,0.0023364854837945787,0.04331970383467786,1.8368405001524855
2020-05-21,118224,48553,3584,7,2719434.0,66087,6536.0,142.0,3280.0,0.09889993493425334,0.049631546295035335,0.0021486827969192128,0.04711970584229879,1.9099941554646407
2020-05-22,124760,51833,3726,7,2834798.0,69201,6665.0,142.0,2576.0,0.09631363708616927,0.037224895593994306,0.002051993468302481,0.057036748023872486,2.452170713760118
2020-05-23,131425,54409,3868,8,2943421.0,73148,7111.0,156.0,3285.0,0.09721386777492208,0.04490895171433259,0.0021326625471646526,0.05017225351342484,2.066550421389131
2020-05-24,138536,57694,4024,9,3033591.0,76818,6414.0,149.0,3012.0,0.08349605561196595,0.03920956025931422,0.001939649561300737,0.04234684579135099,2.0291047136981972
2020-05-25,144950,60706,4173,12,3126119.0,80071,5907.0,173.0,3585.0,0.0737720273257484,0.04477276417179753,0.0021605824830462964,0.02683868067090458,1.5718467269824377
2020-05-26,150857,64291,4346,12,3242160.0,82220,7246.0,188.0,3434.0,0.08812940890294332,0.041765993675504744,0.002286548285088786,0.044076866942349795,2.000552181115406
2020-05-27,158103,67725,4534,12,3362136.0,85844,7254.0,176.0,3171.0,0.08450212012487769,0.036939098830436605,0.0020502306509482316,0.045512790643492854,2.1673140125485513
2020-05-28,165357,70896,4710,12,3483838.0,89751,8138.0,268.0,11735.0,0.0906730844224577,0.13075063230493253,0.0029860391527671,-0.043063587035241935,0.6779971673748231
2020-05-29,173495,82631,4978,13,3611599.0,85886,8364.0,205.0,4303.0,0.09738490557250308,0.05010129706820669,0.0023868849405025267,0.04489672356379386,1.8553682342502216
2020-05-30,181859,86934,5183,13,3737027.0,89742,8789.0,222.0,4928.0,0.09793630630028304,0.05491297274408861,0.0024737581065721738,0.040549575449622254,1.7066019417475728
2020-05-31,190648,91862,5405,13,3837207.0,93381,7723.0,201.0,3882.0,0.08270419035992332,0.041571625919619624,0.00215247213030488,0.03898009230999882,1.8915013470487385
2020-06-01,198371,95744,5606,13,3966075.0,97021,8812.0,222.0,4531.0,0.09082569752940085,0.04670122963069851,0.002288164418012595,0.04183630348068975,1.8539869556069852
2020-06-02,207183,100275,5828,13,4103233.0,101080,9689.0,259.0,3789.0,0.09585476850019786,0.037485160269093785,0.002562326869806094,0.055807281361297985,2.39352766798419
2020-06-03,216872,104064,6087,13,4242718.0,106721,9847.0,274.0,4390.0,0.09226862566879995,0.04113529670823924,0.002567442209124727,0.048565886751435985,2.1112778730703257
2020-06-04,226719,108454,6361,14,4386379.0,111904,9472.0,286.0,4770.0,0.08464398055476123,0.04262582213325708,0.0025557620817843866,0.03946239633971976,1.8734177215189873
2020-06-05,236191,113224,6647,14,4524317.0,116320,10408.0,297.0,5433.0,0.08947730398899588,0.04670735900962861,0.0025533012379642364,0.04021664374140303,1.8164048865619549
2020-06-06,246599,118657,6944,16,4666386.0,120998,10882.0,261.0,5191.0,0.08993537083257575,0.04290153556257128,0.00215706044728012,0.04487677482272435,1.9959647835656642
2020-06-07,257481,123848,7205,16,4774434.0,126428,8536.0,271.0,5171.0,0.06751668934096877,0.040900749833897555,0.0021435125130509066,0.02447242699402031,1.5685409775817714
2020-06-08,266017,129019,7476,18,4916116.0,129522,9981.0,272.0,5634.0,0.07706026775374068,0.04349840181590772,0.0021000293386451725,0.03146183659918779,1.6899762952929227
2020-06-09,275998,134653,7748,18,5061332.0,133597,11156.0,358.0,6275.0,0.08350486912131261,0.04696961758123311,0.0026797008914870844,0.033855550648592414,1.6818935624905775
2020-06-10,287154,140928,8106,18,5213140.0,138120,11135.0,394.0,6044.0,0.08061830292499277,0.043759050101361135,0.002852591949029829,0.0340066608746018,1.7295744019881951
2020-06-11,298289,146972,8500,25,5363445.0,142817,11306.0,388.0,7263.0,0.07916424515288796,0.05085529033658458,0.0027167634105183555,0.02559219140578503,1.4777153313292382
2020-06-12,309595,154235,8888,25,5507182.0,146472,12039.0,309.0,8091.0,0.0821931836801573,0.055239226609864,0.002109618220547272,0.024844338849746017,1.4332142857142856
2020-06-13,321634,162326,9197,39,5658614.0,150111,11404.0,324.0,7358.0,0.07597044853475095,0.04901706070840911,0.0021584027819413635,0.024794985044400475,1.4845092423847956
2020-06-14,333038,169684,9521,41,5774133.0,153833,10032.0,396.0,10639.0,0.06521357576072755,0.0691594131298226,0.0025742200958181922,-0.0065200574649132426,0.9091073855913006
2020-06-15,343070,180323,9917,44,5921069.0,152830,11085.0,2004.0,7226.0,0.0725315710266309,0.047281292939867825,0.013112608780998495,0.012137669305764577,1.2009750812567714
2020-06-16,354155,187549,11921,45,6084256.0,154685,13108.0,341.0,6890.0,0.08473995539321848,0.044542134014287096,0.0022044800724052107,0.03799334130652617,1.8127506568939291
2020-06-17,367263,194439,12262,45,6249668.0,160562,13829.0,343.0,10741.0,0.08612872286095091,0.0668962768276429,0.002136246434399173,0.01709619959890883,1.2476542764345002
2020-06-18,381092,205180,12605,46,6426627.0,163307,14740.0,364.0,9029.0,0.09025944999295805,0.05528850569785741,0.0022289307868003207,0.03274201350830032,1.5692536995635047
2020-06-19,395832,214209,12969,50,6616496.0,168654,15918.0,308.0,13974.0,0.09438258209114518,0.08285602476075278,0.0018262241037864503,0.009700333226605948,1.1145497829435653
2020-06-20,411750,228183,13277,51,6807226.0,170290,15151.0,426.0,9075.0,0.08897175406659229,0.053291444007281696,0.002501614892242645,0.033178695167067944,1.5946742448163351
2020-06-21,426901,237258,13703,51,6950493.0,175940,13560.0,312.0,10879.0,0.07707172899852223,0.06183357962941912,0.001773331817665113,0.013464817551437996,1.2116879635421323
2020-06-22,440461,248137,14015,51,7137716.0,178309,15656.0,468.0,10462.0,0.08780263475203158,0.05867342646753669,0.0026246571962155584,0.02650455108827933,1.432387923147301
2020-06-23,456117,258599,14483,55,7352911.0,183035,16868.0,424.0,13089.0,0.09215723768678122,0.07151091321331986,0.002316496844865736,0.018329827628595627,1.2482794346185155
