beta,gamma,delta,r0
0.09612849497027066,0.08459535577015116,0.0014406284552581155,0.01009251074486138
0.09600678026962098,0.08485099400562038,0.0014308104078484256,0.009724975856152174
0.09585422819283085,0.08503185367537827,0.0014202817809403302,0.00940209273651224
0.09573600435314106,0.08514995384411918,0.0014106442761738051,0.009175406232848071
0.09573991150646124,0.08521847717984879,0.001403243187611627,0.009118191139000822
0.0959484958877164,0.08524937558788241,0.001397202947680856,0.009301917352153133
0.09644447591136321,0.08525123599871533,0.0013912718601857377,0.00980196805246214
0.09719006526758199,0.0852260424061774,0.0013844824253596325,0.010579540436044962
0.09799175236139858,0.08517775832998793,0.0013751885592242444,0.011438805472186397
0.09867031216252943,0.085110847944496,0.0013629118890435843,0.012196552328989849
0.09913475423761194,0.08502574181139462,0.0013487876132036352,0.012760224813013685
0.09942599144377348,0.08492262382616422,0.0013353300583689577,0.0131680375592403
0.09970639581197174,0.08479966149867256,0.001324643590048818,0.013582090723250367
0.10014446105274082,0.08465731659995059,0.0013173675086716424,0.014169776944118584
0.10076504518947701,0.084498289310317,0.0013114744412452744,0.014955281437914747
0.10142014719240006,0.08432908928321571,0.0013050208483523732,0.015786037060831967
0.10194482099417011,0.0841613714737576,0.001296617745610293,0.016486831774802216
0.10223773749262174,0.08400513284225224,0.0012861669452007539,0.01694643770516875
0.10231018053569675,0.08387086214478301,0.0012753782570467812,0.01716394013386696
0.10227380432678401,0.0837720849542629,0.0012667095687084382,0.01723500980381268
0.10222637043544433,0.08372240196888041,0.001261465090784784,0.017242503375779136
0.10218230216532635,0.08373289225111741,0.0012584940402022668,0.017190915874006674
0.10204252440753213,0.08380619916480606,0.0012557719087422515,0.016980553333983822
0.10172203225194888,0.08394173343648748,0.001251980484585484,0.016528318330875924
0.1012081220752448,0.08413534363008136,0.0012462274287891053,0.015826551016374327
0.10052755484733109,0.08437545763773924,0.00123869675237102,0.014913400457220824
0.09971730077399103,0.08464840552477798,0.001230419705206966,0.01383847554400608
0.09884292297030822,0.0849430236230412,0.0012225401806753053,0.012677359166591726
0.09790703329802167,0.08525115270632631,0.001214737620502407,0.011441142971192947
0.09684866047072449,0.08556336894266271,0.0012058856914586831,0.010079405836603092
0.09564913686699322,0.08587215413644976,0.0011952546646126288,0.008581728065930827
0.09434586799357352,0.08618360893881694,0.0011832747673209214,0.006978984287435652
0.09301576208569551,0.08647748428965339,0.0011714832176487097,0.005366794578393411
0.09176739072613736,0.08676830846042283,0.001161401082382429,0.003837681183332109
0.09074453115834608,0.08706288121112407,0.0011538434551187267,0.0025278064921032822
0.0899661809925494,0.08736426043546745,0.0011482904033467533,0.0014536301537351887
0.08931328718033327,0.08767333336069141,0.0011428612028174297,0.0004970926168244294
0.08869126620817967,0.08798979175865507,0.0011371016212344406,-0.0004356271717098348
0.08807274071452872,0.08831263688189664,0.001131717871329687,-0.0013716140386976078
0.08747044969219935,0.08864032067342688,0.0011276998424194745,-0.0022975708236470105
0.0869311633430091,0.08897108592375821,0.0011255082403864773,-0.003165430821135587
0.08673342428457546,0.08930325397557361,0.001127437789155794,-0.0036972674801539346
0.08658719808042149,0.08963543953147633,0.001129310050926261,-0.004177551501981097
0.08646483769886824,0.08996601863488934,0.0011309883549730961,-0.0046321692909941925
0.08634610835732726,0.09029323946329108,0.0011324477666676588,-0.005079578872631482
0.08622208919577268,0.09061595405355101,0.0011338212007968754,-0.005527686058575204
0.08610016406290247,0.09093338320323506,0.0011354606599685904,-0.005968679800301177
0.0859897606057646,0.09124486991842885,0.0011375485912185302,-0.006392657903882784
0.08589230969998328,0.0915499847467751,0.001140051128521315,-0.006797726175313143
0.08580641504920292,0.0918488475254677,0.0011428710211809855,-0.007185303497445769
